genes	accession	pfam_link
Adenylsucc_synt	PF00709.21	https://pfam.xfam.org/family/PF00709.21
ADK	PF00406.22	https://pfam.xfam.org/family/PF00406.22
AICARFT_IMPCHas	PF01808.18	https://pfam.xfam.org/family/PF01808.18
ATP-synt	PF00231.19	https://pfam.xfam.org/family/PF00231.19
ATP-synt_A	PF00119.20	https://pfam.xfam.org/family/PF00119.20
Chorismate_synt	PF01264.21	https://pfam.xfam.org/family/PF01264.21
EF_TS	PF00889.19	https://pfam.xfam.org/family/PF00889.19
eIF-1a	PF01176.19	https://pfam.xfam.org/family/PF01176.19
Exonuc_VII_L	PF02601.15	https://pfam.xfam.org/family/PF02601.15
GrpE	PF01025.19	https://pfam.xfam.org/family/PF01025.19
Ham1p_like	PF01725.16	https://pfam.xfam.org/family/PF01725.16
IPPT	PF01715.17	https://pfam.xfam.org/family/PF01715.17
OSCP	PF00213.18	https://pfam.xfam.org/family/PF00213.18
Pept_tRNA_hydro	PF01195.19	https://pfam.xfam.org/family/PF01195.19
PGK	PF00162.19	https://pfam.xfam.org/family/PF00162.19
RBFA	PF02033.18	https://pfam.xfam.org/family/PF02033.18
RecO_C	PF02565.15	https://pfam.xfam.org/family/PF02565.15
Ribonuclease_P	PF00825.18	https://pfam.xfam.org/family/PF00825.18
Ribosomal_L1	PF00687.21	https://pfam.xfam.org/family/PF00687.21
Ribosomal_L2	PF00181.23	https://pfam.xfam.org/family/PF00181.23
Ribosomal_L13	PF00572.18	https://pfam.xfam.org/family/PF00572.18
Ribosomal_L14	PF00238.19	https://pfam.xfam.org/family/PF00238.19
Ribosomal_L16	PF00252.18	https://pfam.xfam.org/family/PF00252.18
Ribosomal_L17	PF01196.19	https://pfam.xfam.org/family/PF01196.19
Ribosomal_L18p	PF00861.22	https://pfam.xfam.org/family/PF00861.22
Ribosomal_L19	PF01245.20	https://pfam.xfam.org/family/PF01245.20
Ribosomal_L20	PF00453.18	https://pfam.xfam.org/family/PF00453.18
Ribosomal_L21p	PF00829.21	https://pfam.xfam.org/family/PF00829.21
Ribosomal_L22	PF00237.19	https://pfam.xfam.org/family/PF00237.19
Ribosomal_L23	PF00276.20	https://pfam.xfam.org/family/PF00276.20
ribosomal_L24	PF17136.4	https://pfam.xfam.org/family/PF17136.4
Ribosomal_L27	PF01016.19	https://pfam.xfam.org/family/PF01016.19
Ribosomal_L27A	PF00828.19	https://pfam.xfam.org/family/PF00828.19
Ribosomal_L28	PF00830.19	https://pfam.xfam.org/family/PF00830.19
Ribosomal_L29	PF00831.23	https://pfam.xfam.org/family/PF00831.23
Ribosomal_L3	PF00297.22	https://pfam.xfam.org/family/PF00297.22
Ribosomal_L32p	PF01783.23	https://pfam.xfam.org/family/PF01783.23
Ribosomal_L35p	PF01632.19	https://pfam.xfam.org/family/PF01632.19
Ribosomal_L4	PF00573.22	https://pfam.xfam.org/family/PF00573.22
Ribosomal_L5	PF00281.19	https://pfam.xfam.org/family/PF00281.19
Ribosomal_L6	PF00347.23	https://pfam.xfam.org/family/PF00347.23
Ribosomal_L9_C	PF03948.14	https://pfam.xfam.org/family/PF03948.14
Ribosomal_S10	PF00338.22	https://pfam.xfam.org/family/PF00338.22
Ribosomal_S11	PF00411.19	https://pfam.xfam.org/family/PF00411.19
Ribosomal_S13	PF00416.22	https://pfam.xfam.org/family/PF00416.22
Ribosomal_S15	PF00312.22	https://pfam.xfam.org/family/PF00312.22
Ribosomal_S16	PF00886.19	https://pfam.xfam.org/family/PF00886.19
Ribosomal_S17	PF00366.20	https://pfam.xfam.org/family/PF00366.20
Ribosomal_S19	PF00203.21	https://pfam.xfam.org/family/PF00203.21
Ribosomal_S2	PF00318.20	https://pfam.xfam.org/family/PF00318.20
Ribosomal_S3_C	PF00189.20	https://pfam.xfam.org/family/PF00189.20
Ribosomal_S6	PF01250.17	https://pfam.xfam.org/family/PF01250.17
Ribosomal_S7	PF00177.21	https://pfam.xfam.org/family/PF00177.21
Ribosomal_S8	PF00410.19	https://pfam.xfam.org/family/PF00410.19
Ribosomal_S9	PF00380.19	https://pfam.xfam.org/family/PF00380.19
Ribosomal_S20p	PF01649.18	https://pfam.xfam.org/family/PF01649.18
Ribosom_S12_S23	PF00164.25	https://pfam.xfam.org/family/PF00164.25
RNA_pol_L	PF01193.24	https://pfam.xfam.org/family/PF01193.24
RNA_pol_Rpb6	PF01192.22	https://pfam.xfam.org/family/PF01192.22
RRF	PF01765.19	https://pfam.xfam.org/family/PF01765.19
RsfS	PF02410.15	https://pfam.xfam.org/family/PF02410.15
RuvX	PF03652.15	https://pfam.xfam.org/family/PF03652.15
SecE	PF00584.20	https://pfam.xfam.org/family/PF00584.20
SecG	PF03840.14	https://pfam.xfam.org/family/PF03840.14
SecY	PF00344.20	https://pfam.xfam.org/family/PF00344.20
SmpB	PF01668.18	https://pfam.xfam.org/family/PF01668.18
tRNA-synt_1d	PF00750.19	https://pfam.xfam.org/family/PF00750.19
tRNA_m1G_MT	PF01746.21	https://pfam.xfam.org/family/PF01746.21
TsaE	PF02367.17	https://pfam.xfam.org/family/PF02367.17
UPF0054	PF02130.17	https://pfam.xfam.org/family/PF02130.17
YajC	PF02699.15	https://pfam.xfam.org/family/PF02699.15
