bin_name	total_scgs	supporting_scgs	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species	WAM_ALR	WAM_CCR	WAM_IPI	WAM_MAR	WAM_MYS	WAM_PBL	WAM_PJN	WAM_PPR	WAM_PST	WAM_ROL	WAM_SCR	WAM_SGN	WAM_SIS	WAM_TWN	WAR_ALR	WAR_CCR	WAR_IPI	WAR_MAR	WAR_MYS	WAR_PBL	WAR_PJN	WAR_PPR	WAR_PSK	WAR_PST	WAR_RNW	WAR_ROL	WAR_SCR	WAR_SGL	WAR_SIS
WA_MAG_00001	20	19	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillaceae	WTJO01	WTJO01 sp011524805	1.6713382347853183	3.68165543016107	2.615836386724315	2.9746160364276113	3.455569961287852	1.9723016458735263	4.103693554364119	4.00017591597396	3.197678407164588	0.9342853928389822	3.628849184944155	2.8364940422533893	0.8517440441015565	0.536866408002832	1.4386833414033755	3.1998967158917653	0.6484897831018253	0.6976014036690454	3.289136934289329	0.9219384947416698	2.0418771091776415	2.8996787273748996	0.834006506765814	1.5232307461312256	1.1746359042762131	1.2322139067897022	4.904054137635691	1.4417348336899445	0.9845492821159132
WA_MAG_00002	20	16	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillaceae	UBA685	UBA685 sp011524995	0.0	0.0	0.07947391591459388	0.0	0.46882699975254305	0.02368766404199475	0.6675069580820467	0.0	0.0	0.0	0.19972915496905488	0.0	41.864145470890506	0.0	0.049669166856074955	0.0	0.0	0.0	0.06608324097764764	0.0	0.11232562359056222	0.0	0.0	0.0	0.0	0.03195402298850575	0.06643713137778244	0.0070063694267515925	0.0
WA_MAG_00003	10	6	Bacteria	Proteobacteria	Gammaproteobacteria	PS1	Thioglobaceae	Thiodubiliella	None	0.0	6.775158139512901	0.0	5.3565191916684585	0.0	0.0	0.0	0.7293590239873269	0.0	0.0	5.0523363318404675	0.0	0.0	10.976913359908169	0.0005555555555555556	1.102184707403022	0.0	0.058524173027989825	0.0	0.0	0.0	0.15232009296894794	0.0	0.0	0.0	0.0	0.4716299993475566	0.0	0.0
WA_MAG_00004	22	19	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	UBA3478	UBA3478 sp011525015	0.23329261818646269	0.08977305522760068	0.12969711211332935	1.9208622752259779	1.0308762780284833	1.529022484241085	0.5748207922144094	2.5159429427162396	0.6232830281901948	0.03563741657763119	0.043622035034230566	0.27771980086919545	0.03644991410020095	5.5029757459658235	0.18131960389326973	0.06325757575757575	0.0	0.4205869702570643	0.09806416848945343	0.30522678685275867	0.21009204386792407	0.5058564552615932	0.054495779399466794	0.5481391141341183	0.3814993546468649	0.08371420195229375	0.4988216171855054	0.39291157591076337	0.14737539734220606
WA_MAG_00005	16	16	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UA16	UBA974	None	0.4858520676965415	1.1836648755855181	0.2957993004920795	2.7341258829906323	1.436017734737129	3.608694112481373	0.6833307394600984	0.671570605882872	2.3678994196132184	0.0	1.455176009833643	0.314976326569816	0.049723668144720776	0.5324867827750788	0.05361426026002507	0.8208954213726616	0.06519607843137255	0.05592213761257385	0.2185828765735564	0.5015191079298716	0.07769062153993476	1.9655335233013658	0.07782973343146216	0.6053871774160152	0.24638967072280868	0.04928193646356405	5.045734864690093	0.17265263310185183	0.0
WA_MAG_00006	21	19	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	RFYP01	RFYP01 sp011526365	0.6849544095158073	0.7633343926615153	0.4090792970577966	0.5614180989892479	1.9006477776470636	0.10055924418743009	0.22249511849261325	2.2979490582660813	0.39475973830935374	0.08258104264836212	1.677485492848269	1.8237667287288353	0.11547079838682202	0.12816937207314028	0.13723856719498773	0.29136840385363577	0.10901457369947404	0.05354181473584459	0.5631198249413947	0.01826943671021632	0.06788103081903622	0.7435022282648205	0.04853088710231567	0.16027398257652775	0.10106669836646953	0.09925059466869302	1.7691264794585033	0.10295831026208933	0.06700186072565527
WA_MAG_00007	21	16	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	BACL21	BACL21 sp011525065	0.9248576586275485	0.21283865818582642	0.13355066353690678	2.3748439611515786	0.3911726547352123	1.3299855004025933	0.9105496915816276	0.1738215603780107	0.7801026640925521	0.005706414797323888	0.11737335727606256	1.3005344857354548	0.10308749127181992	2.088195801915954	0.29656035089102556	0.07999271568691177	0.051835551183140885	0.6110189835480823	0.18681606316801302	0.7508751419341789	0.5303807767428322	0.35340345428406145	0.05039104226009942	1.3461251136333718	1.123217486044983	0.1454548486061091	0.9468388091887225	0.5295410041804023	0.2724290408365613
WA_MAG_00008	22	8	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillaceae	UBA8309	UBA8309 sp001627655	3.3467813652984315	5.515837202717919	2.3881913688731906	2.7466120110273398	1.8199988259521012	3.303778008456246	4.338639752621143	5.60363986622751	3.946266958779528	1.3955324020498454	3.707984395672891	3.7150946029769116	0.6414795553555179	1.925511661707413	2.41697803941843	5.720803390271078	2.2792891401861497	2.0499588817482053	1.9278480957244126	2.99976441456101	3.9574741816024006	6.031563351725937	2.3341406579181263	4.114296801065475	2.872617089944032	2.5542925932582508	10.759711342317486	2.650437253224383	2.1441845304442784
WA_MAG_00009	16	15	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	DSM-45221	Coraliomargarita	Coraliomargarita akajimensis	0.0	0.45310903714376755	0.0	0.03374413145539906	0.0	0.0	0.0	25.886305233021062	8.465177140477774	0.0	0.18827292154492464	3.2657730526031123	0.0	0.0	0.0	0.7856456576197253	0.0	0.0	0.0	0.0	0.0	0.21831109944538768	0.0	0.02668732782369146	0.14142120456893814	0.0	0.0	0.0	0.0
WA_MAG_00010	0	0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
WA_MAG_00011	22	22	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	AAA164-E04	UBA7971	UBA7971 sp002686885	0.3002213267303061	0.3356187078660382	0.5001035317912305	0.32527001230671754	0.08213886575408774	0.2462165972121195	0.6507140979876969	0.2987214058526909	0.44854427143618864	0.15138776922743902	0.1331050536602027	0.39824392897991845	0.11632569856254066	0.10328242073968696	1.038635393276007	0.22726412345923253	0.5850413375220757	0.7239091905005755	0.30629156621522236	1.0678556561775983	1.3376988370877492	0.2712194450909753	0.2571854721651636	1.370576800708655	0.7063795232104862	0.5904846404123744	0.2574348645540204	0.7074134661731655	0.6475337451977637
WA_MAG_00012	19	19	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	MedAcidi-G1	MedAcidi-G2B	MedAcidi-G2B sp003215175	0.0886596553068507	0.5479876607526536	0.17149053312238435	0.3865800436182774	0.05053514288866821	0.05148402320114821	0.3101648825744831	0.07860733511482902	1.3108200916107946	0.03276402927849425	0.7208659958526092	0.1678148912507233	0.005877638258081752	0.002649853801169591	0.29117554575438137	2.028957323637948	0.07552669848760954	1.2255528594216347	0.09307432265330427	1.3577236829123884	0.9028258248055675	2.060978088748572	0.09278232162841576	2.8905916078788154	0.3686573422867255	0.15495910736063775	1.0101926658803784	0.11579393697011589	0.08779124322454335
WA_MAG_00013	22	22	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	UBA9145	None	0.8425068642957164	0.4106876530048881	0.3216315202020948	0.5798640528580097	0.47028909222612786	0.2453584382868466	0.8684055302360065	0.8025224668787093	0.9050568342872034	0.3757888374850222	0.16937321039262787	1.0478487822261127	0.25818814011154817	0.9942031645692075	1.2549283270616254	0.2410808659664265	1.0251362991766977	0.38882031779915854	0.8988372380030469	0.4286479804904802	0.6509054967884464	0.5861030934907538	0.6185572255546946	0.4758476789247241	0.35131619495995353	1.0320365460180907	0.9400550899297738	0.5794656150160494	1.2784048870154858
WA_MAG_00014	8	4	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	UBA1172	UBA1172	UBA1172 sp011522975	0.15224036248561562	0.6758298475787108	0.0006313131313131314	0.02513227513227513	0.3961018620436617	0.05694444444444444	0.018518518518518517	1.1255196755538717	0.19196969696969696	0.2133438818565401	0.30008778258778257	0.14808091563643738	0.019570707070707072	0.2740530303030303	0.0	0.33585858585858586	0.01	0.0	0.11969696969696969	0.0	0.06849747474747475	0.3835527967536638	0.0	0.0	0.017940480756936453	0.13836124401913877	0.9405794947437778	0.0	0.0
WA_MAG_00015	22	11	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	UBA3478	UBA3478 sp003045935	0.1365717196063324	0.4342271023679643	0.0	3.304568257467841	0.33212921145409846	1.1902546424368985	0.6792608294206146	0.6013136299527071	0.9287392891691646	0.008893280632411068	0.7668747119107007	1.227303961993877	0.025228195577032788	1.803562151805892	0.07489359050031713	0.26200955674041054	0.0	0.24994532535950037	0.07863541071088241	0.6059993068851811	0.37692441843656516	0.3635322371971394	0.013607775871926815	0.4774061462738938	0.5356272075690263	0.0	1.441362884589286	0.4094798933003789	0.0
WA_MAG_00016	21	12	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillaceae	HIMB100	HIMB100 sp002722385	0.2889754474519717	2.261344787166627	0.28340144196596717	0.6894079004963254	0.8694737770647263	0.48866892148557045	0.7107486618333552	2.261439889132263	0.41127272744226334	0.10858471157608934	2.9063850684402572	0.7364951356460773	0.2007112543000049	0.15626960767652442	0.25468277313718535	2.575841073971042	0.09700435172876117	0.06312042635196279	0.9917690403261568	0.19751684148128573	0.29101071783595484	1.9909590916950104	0.19967579174027034	0.19693598060195777	0.2923557999457643	0.10969636688575221	3.208812513011324	0.07830858259980186	0.06714005335794997
