genes	accession	pfam_link	Archaea_76	Bacteria_71	GTDB_Taxonomy
Adenylsucc_synt	PF00709.21	https://pfam.xfam.org/family/PF00709.21	yes	yes	NA
AdoHcyase	PF05221.17	https://pfam.xfam.org/family/PF05221.17	yes	NA	NA
Archease	PF01951.16	https://pfam.xfam.org/family/PF01951.16	yes	NA	NA
ATP-synt_D	PF01813.17	https://pfam.xfam.org/family/PF01813.17	yes	NA	NA
ATP-synt_F	PF01990.17	https://pfam.xfam.org/family/PF01990.17	yes	NA	NA
CarS-like	PF01864.17	https://pfam.xfam.org/family/PF01864.17	yes	NA	NA
CTP-dep_RFKase	PF01982.16	https://pfam.xfam.org/family/PF01982.16	yes	NA	NA
Diphthamide_syn	PF01866.17	https://pfam.xfam.org/family/PF01866.17	yes	NA	NA
DNA_primase_lrg	PF04104.14	https://pfam.xfam.org/family/PF04104.14	yes	NA	NA
dsDNA_bind	PF01984.20	https://pfam.xfam.org/family/PF01984.20	yes	NA	NA
DUF357	PF04010.13	https://pfam.xfam.org/family/PF04010.13	yes	NA	NA
DUF359	PF04019.12	https://pfam.xfam.org/family/PF04019.12	yes	NA	NA
DUF655	PF04919.12	https://pfam.xfam.org/family/PF04919.12	yes	NA	NA
eIF-6	PF01912.18	https://pfam.xfam.org/family/PF01912.18	yes	NA	NA
FbpA	PF05833.11	https://pfam.xfam.org/family/PF05833.11	yes	NA	NA
Ham1p_like	PF01725.16	https://pfam.xfam.org/family/PF01725.16	yes	yes	NA
HMG-CoA_red	PF00368.18	https://pfam.xfam.org/family/PF00368.18	yes	NA	NA
NDK	PF00334.19	https://pfam.xfam.org/family/PF00334.19	yes	NA	NA
PPS_PS	PF02006.16	https://pfam.xfam.org/family/PF02006.16	yes	NA	NA
Prefoldin	PF02996.17	https://pfam.xfam.org/family/PF02996.17	yes	NA	NA
PTH2	PF01981.16	https://pfam.xfam.org/family/PF01981.16	yes	NA	NA
PyrI	PF01948.18	https://pfam.xfam.org/family/PF01948.18	yes	NA	NA
Ribosomal_L1	PF00687.21	https://pfam.xfam.org/family/PF00687.21	yes	yes	yes
Ribosomal_L13	PF00572.18	https://pfam.xfam.org/family/PF00572.18	yes	yes	yes
Ribosomal_L14	PF00238.19	https://pfam.xfam.org/family/PF00238.19	yes	yes	NA
Ribosomal_L15e	PF00827.17	https://pfam.xfam.org/family/PF00827.17	yes	NA	NA
Ribosomal_L16	PF00252.18	https://pfam.xfam.org/family/PF00252.18	yes	yes	yes
Ribosomal_L21e	PF01157.18	https://pfam.xfam.org/family/PF01157.18	yes	NA	NA
Ribosomal_L22	PF00237.19	https://pfam.xfam.org/family/PF00237.19	yes	yes	yes
Ribosomal_L23	PF00276.20	https://pfam.xfam.org/family/PF00276.20	yes	yes	NA
Ribosomal_L26	PF16906.5	https://pfam.xfam.org/family/PF16906.5	yes	NA	NA
Ribosomal_L29	PF00831.23	https://pfam.xfam.org/family/PF00831.23	yes	yes	NA
Ribosomal_L3	PF00297.22	https://pfam.xfam.org/family/PF00297.22	yes	yes	yes
Ribosomal_L31e	PF01198.19	https://pfam.xfam.org/family/PF01198.19	yes	NA	NA
Ribosomal_L32e	PF01655.18	https://pfam.xfam.org/family/PF01655.18	yes	NA	NA
Ribosomal_L37ae	PF01780.19	https://pfam.xfam.org/family/PF01780.19	yes	NA	NA
Ribosomal_L39	PF00832.20	https://pfam.xfam.org/family/PF00832.20	yes	NA	NA
Ribosomal_L4	PF00573.22	https://pfam.xfam.org/family/PF00573.22	yes	yes	yes
Ribosomal_L44	PF00935.19	https://pfam.xfam.org/family/PF00935.19	yes	NA	NA
Ribosomal_L5e	PF17144.4	https://pfam.xfam.org/family/PF17144.4	yes	NA	NA
Ribosomal_L6	PF00347.23	https://pfam.xfam.org/family/PF00347.23	yes	yes	yes
Ribosomal_S11	PF00411.19	https://pfam.xfam.org/family/PF00411.19	yes	yes	yes
Ribosomal_S13	PF00416.22	https://pfam.xfam.org/family/PF00416.22	yes	yes	NA
Ribosomal_S15	PF00312.22	https://pfam.xfam.org/family/PF00312.22	yes	yes	NA
Ribosomal_S17	PF00366.20	https://pfam.xfam.org/family/PF00366.20	yes	yes	NA
Ribosomal_S17e	PF00833.18	https://pfam.xfam.org/family/PF00833.18	yes	NA	NA
Ribosomal_S19	PF00203.21	https://pfam.xfam.org/family/PF00203.21	yes	yes	NA
Ribosomal_S19e	PF01090.19	https://pfam.xfam.org/family/PF01090.19	yes	NA	NA
Ribosomal_S2	PF00318.20	https://pfam.xfam.org/family/PF00318.20	yes	yes	yes
Ribosomal_S24e	PF01282.19	https://pfam.xfam.org/family/PF01282.19	yes	NA	NA
Ribosomal_S27e	PF01667.17	https://pfam.xfam.org/family/PF01667.17	yes	NA	NA
Ribosomal_S28e	PF01200.18	https://pfam.xfam.org/family/PF01200.18	yes	NA	NA
Ribosomal_S3Ae	PF01015.18	https://pfam.xfam.org/family/PF01015.18	yes	NA	NA
Ribosomal_S7	PF00177.21	https://pfam.xfam.org/family/PF00177.21	yes	yes	yes
Ribosomal_S8	PF00410.19	https://pfam.xfam.org/family/PF00410.19	yes	yes	yes
Ribosomal_S8e	PF01201.22	https://pfam.xfam.org/family/PF01201.22	yes	NA	NA
Ribosomal_S9	PF00380.19	https://pfam.xfam.org/family/PF00380.19	yes	yes	yes
Ribosom_S12_S23	PF00164.25	https://pfam.xfam.org/family/PF00164.25	yes	yes	NA
Rib_5-P_isom_A	PF06026.14	https://pfam.xfam.org/family/PF06026.14	yes	NA	NA
RNase_HII	PF01351.18	https://pfam.xfam.org/family/PF01351.18	yes	NA	NA
RNA_pol_L_2	PF13656.6	https://pfam.xfam.org/family/PF13656.6	yes	NA	NA
RNA_pol_N	PF01194.17	https://pfam.xfam.org/family/PF01194.17	yes	NA	NA
RNA_pol_Rpb4	PF03874.16	https://pfam.xfam.org/family/PF03874.16	yes	NA	NA
RNA_pol_Rpb6	PF01192.22	https://pfam.xfam.org/family/PF01192.22	yes	yes	NA
RtcB	PF01139.17	https://pfam.xfam.org/family/PF01139.17	yes	NA	NA
SecY	PF00344.20	https://pfam.xfam.org/family/PF00344.20	yes	yes	NA
Spt4	PF06093.13	https://pfam.xfam.org/family/PF06093.13	yes	NA	NA
TIM	PF00121.18	https://pfam.xfam.org/family/PF00121.18	yes	NA	NA
Trm56	PF01994.16	https://pfam.xfam.org/family/PF01994.16	yes	NA	NA
tRNA-synt_1c	PF00749.21	https://pfam.xfam.org/family/PF00749.21	yes	NA	NA
tRNA-synt_1d	PF00750.19	https://pfam.xfam.org/family/PF00750.19	yes	yes	NA
tRNA-synt_His	PF13393.6	https://pfam.xfam.org/family/PF13393.6	yes	NA	NA
TruD	PF01142.18	https://pfam.xfam.org/family/PF01142.18	yes	NA	NA
vATP-synt_AC39	PF01992.16	https://pfam.xfam.org/family/PF01992.16	yes	NA	NA
vATP-synt_E	PF01991.18	https://pfam.xfam.org/family/PF01991.18	yes	NA	NA
V_ATPase_I	PF01496.19	https://pfam.xfam.org/family/PF01496.19	yes	NA	NA
ADK	PF00406.22	https://pfam.xfam.org/family/PF00406.22	NA	yes	NA
AICARFT_IMPCHas	PF01808.18	https://pfam.xfam.org/family/PF01808.18	NA	yes	NA
ATP-synt	PF00231.19	https://pfam.xfam.org/family/PF00231.19	NA	yes	NA
ATP-synt_A	PF00119.20	https://pfam.xfam.org/family/PF00119.20	NA	yes	NA
Chorismate_synt	PF01264.21	https://pfam.xfam.org/family/PF01264.21	NA	yes	NA
EF_TS	PF00889.19	https://pfam.xfam.org/family/PF00889.19	NA	yes	NA
eIF-1a	PF01176.19	https://pfam.xfam.org/family/PF01176.19	NA	yes	NA
Exonuc_VII_L	PF02601.15	https://pfam.xfam.org/family/PF02601.15	NA	yes	NA
GrpE	PF01025.19	https://pfam.xfam.org/family/PF01025.19	NA	yes	NA
IPPT	PF01715.17	https://pfam.xfam.org/family/PF01715.17	NA	yes	NA
OSCP	PF00213.18	https://pfam.xfam.org/family/PF00213.18	NA	yes	NA
Pept_tRNA_hydro	PF01195.19	https://pfam.xfam.org/family/PF01195.19	NA	yes	NA
PGK	PF00162.19	https://pfam.xfam.org/family/PF00162.19	NA	yes	NA
RBFA	PF02033.18	https://pfam.xfam.org/family/PF02033.18	NA	yes	NA
RecO_C	PF02565.15	https://pfam.xfam.org/family/PF02565.15	NA	yes	NA
