unique_entry_id	gene_callers_id	source	gene_name	gene_hmm_id
14236	1054218	Bacteria_71	RRF	PF01765.19
14237	1054267	Bacteria_71	GrpE	PF01025.19
14238	1054326	Bacteria_71	Ribosomal_L28	PF00830.19
14239	1054339	Bacteria_71	SecY	PF00344.20
14240	1054364	Bacteria_71	SecE	PF00584.20
14241	1054502	Bacteria_71	Ribosomal_L28	PF00830.19
14242	1054545	Bacteria_71	Adenylsucc_synt	PF00709.21
14243	1054696	Bacteria_71	Ribosomal_L22	PF00237.19
14244	1054697	Bacteria_71	Ribosomal_S3_C	PF00189.20
14245	1054698	Bacteria_71	Ribosomal_L29	PF00831.23
14246	1054701	Bacteria_71	Ribosomal_S17	PF00366.20
14247	1054702	Bacteria_71	Ribosomal_L14	PF00238.19
14248	1055057	Bacteria_71	Ribosomal_L27	PF01016.19
14249	1055058	Bacteria_71	Ribosomal_L21p	PF00829.21
14250	1055071	Bacteria_71	Ribosomal_L1	PF00687.21
14251	1055074	Bacteria_71	SecE	PF00584.20
14252	1055128	Bacteria_71	Pept_tRNA_hydro	PF01195.19
14253	1055262	Bacteria_71	RNA_pol_Rpb6	PF01192.22
14254	1055368	Bacteria_71	Ribosomal_L2	PF00181.23
14255	1055369	Bacteria_71	Ribosomal_L23	PF00276.20
14256	1055520	Bacteria_71	Ham1p_like	PF01725.16
14257	1055541	Bacteria_71	Ribosomal_L3	PF00297.22
14258	1055542	Bacteria_71	Ribosomal_L4	PF00573.22
14259	1055682	Bacteria_71	IPPT	PF01715.17
14260	1055835	Bacteria_71	SmpB	PF01668.18
14261	1055959	Bacteria_71	PGK	PF00162.19
14262	1055973	Bacteria_71	IPPT	PF01715.17
14263	1056046	Bacteria_71	RNA_pol_L	PF01193.24
14264	1056047	Bacteria_71	Ribosomal_L13	PF00572.18
14265	1056198	Bacteria_71	Ribosomal_S15	PF00312.22
14266	1056200	Bacteria_71	RBFA	PF02033.18
14267	1056209	Bacteria_71	UPF0054	PF02130.17
14268	1056314	Bacteria_71	tRNA-synt_1d	PF00750.19
14269	1056432	Bacteria_71	RsfS	PF02410.15
14270	1056506	Bacteria_71	Ribosom_S12_S23	PF00164.25
14271	1056507	Bacteria_71	Ribosomal_S7	PF00177.21
14272	1056586	Bacteria_71	SmpB	PF01668.18
14273	1056665	Bacteria_71	SecG	PF03840.14
14274	1056702	Bacteria_71	Exonuc_VII_L	PF02601.15
14275	1057057	Bacteria_71	AICARFT_IMPCHas	PF01808.18
14276	1057093	Bacteria_71	tRNA-synt_1d	PF00750.19
14277	1057101	Bacteria_71	Ham1p_like	PF01725.16
14278	1057127	Bacteria_71	tRNA_m1G_MT	PF01746.21
14279	1057128	Bacteria_71	Ribosomal_L19	PF01245.20
14280	1057241	Bacteria_71	Ribosomal_L28	PF00830.19
14281	1057249	Bacteria_71	Ribosomal_L17	PF01196.19
14282	1057250	Bacteria_71	RNA_pol_L	PF01193.24
14283	1057252	Bacteria_71	Ribosomal_S11	PF00411.19
14284	1057253	Bacteria_71	Ribosomal_S13	PF00416.22
14285	1057255	Bacteria_71	eIF-1a	PF01176.19
14286	1057256	Bacteria_71	SecY	PF00344.20
14287	1057257	Bacteria_71	Ribosomal_L27A	PF00828.19
14288	1057260	Bacteria_71	Ribosomal_L18p	PF00861.22
14289	1057261	Bacteria_71	Ribosomal_L6	PF00347.23
14290	1057262	Bacteria_71	Ribosomal_S8	PF00410.19
14291	1057264	Bacteria_71	Ribosomal_L5	PF00281.19
14292	1057265	Bacteria_71	ribosomal_L24	PF17136.4
14293	1057266	Bacteria_71	Ribosomal_L14	PF00238.19
14294	1057267	Bacteria_71	Ribosomal_S17	PF00366.20
14295	1057268	Bacteria_71	Ribosomal_L29	PF00831.23
14296	1057269	Bacteria_71	Ribosomal_L16	PF00252.18
14297	1057270	Bacteria_71	Ribosomal_S3_C	PF00189.20
14298	1057271	Bacteria_71	Ribosomal_L22	PF00237.19
14299	1057272	Bacteria_71	Ribosomal_S19	PF00203.21
14300	1057273	Bacteria_71	Ribosomal_L2	PF00181.23
14301	1057274	Bacteria_71	Ribosomal_L23	PF00276.20
14302	1057275	Bacteria_71	Ribosomal_L4	PF00573.22
14303	1057276	Bacteria_71	Ribosomal_L3	PF00297.22
14304	1057277	Bacteria_71	Ribosomal_S10	PF00338.22
14305	1057279	Bacteria_71	Ribosomal_S7	PF00177.21
14306	1057280	Bacteria_71	Ribosom_S12_S23	PF00164.25
14307	1057297	Bacteria_71	Pept_tRNA_hydro	PF01195.19
14308	1057505	Bacteria_71	Ribosomal_S7	PF00177.21
14309	1057506	Bacteria_71	Ribosom_S12_S23	PF00164.25
14310	1057511	Bacteria_71	Ribosomal_L1	PF00687.21
14311	1057514	Bacteria_71	SecE	PF00584.20
14312	1057592	Bacteria_71	Ribosomal_S13	PF00416.22
14313	1057603	Bacteria_71	ATP-synt	PF00231.19
14314	1057612	Bacteria_71	Ribonuclease_P	PF00825.18
14315	1057674	Bacteria_71	RNA_pol_L	PF01193.24
14316	1057675	Bacteria_71	Ribosomal_L17	PF01196.19
14317	1057787	Bacteria_71	Ribosomal_L20	PF00453.18
14318	1058058	Bacteria_71	Ribosomal_L21p	PF00829.21
14319	1058059	Bacteria_71	Ribosomal_L27	PF01016.19
14320	1058190	Bacteria_71	Ribosomal_S15	PF00312.22
14321	1058275	Bacteria_71	Exonuc_VII_L	PF02601.15
14322	1058322	Bacteria_71	Ribosomal_L21p	PF00829.21
14323	1058631	Bacteria_71	SecY	PF00344.20
14324	1058632	Bacteria_71	ADK	PF00406.22
14325	1058912	Bacteria_71	Adenylsucc_synt	PF00709.21
14326	1059067	Bacteria_71	Ribosomal_L1	PF00687.21
14327	1059766	Bacteria_71	Ribosomal_L9_C	PF03948.14
14328	1059808	Bacteria_71	RsfS	PF02410.15
14329	1059917	Bacteria_71	Ribosomal_L35p	PF01632.19
14330	1059918	Bacteria_71	Ribosomal_L20	PF00453.18
