gene_name	mag_id	e_value	gene_callers_id	length
Ribosomal_L17	WA_MAG_00001	5.8e-10	350666	138
RNA_pol_L	WA_MAG_00001	2.4e-25	350667	1017
Ribosomal_S11	WA_MAG_00001	1.9e-51	350668	396
Ribosomal_S13	WA_MAG_00001	5.2e-35	350669	369
ADK	WA_MAG_00001	3.6e-58	350670	576
SecY	WA_MAG_00001	5.4e-114	350671	1335
Ribosomal_L27A	WA_MAG_00001	7.2e-39	350672	477
Ribosomal_L18p	WA_MAG_00001	4.2e-43	350675	363
Ribosomal_L6	WA_MAG_00001	2.5e-37	350676	534
Ribosomal_S8	WA_MAG_00001	5.3e-48	350677	399
Ribosomal_L5	WA_MAG_00001	1.8e-27	350679	546
ribosomal_L24	WA_MAG_00001	4.1e-27	350680	309
Ribosomal_L14	WA_MAG_00001	5.9e-58	350681	369
Ribosomal_S17	WA_MAG_00001	7.2e-31	350682	243
Ribosomal_L29	WA_MAG_00001	1.4e-23	350683	213
Ribosomal_L16	WA_MAG_00001	2e-52	350684	420
Ribosomal_S3_C	WA_MAG_00001	1.2e-41	350685	699
Ribosomal_L22	WA_MAG_00001	4.7e-35	350686	381
Ribosomal_S19	WA_MAG_00001	3.2e-37	350687	276
Ribosomal_L2	WA_MAG_00001	9.6e-34	350688	822
Ribosomal_L23	WA_MAG_00001	4.7e-33	350689	327
Ribosomal_L4	WA_MAG_00001	1.9e-59	350690	618
Ribosomal_L3	WA_MAG_00001	3.7e-18	350691	810
Ribosomal_S10	WA_MAG_00001	4e-40	350692	309
PGK	WA_MAG_00001	3.3e-126	1055959	1179
IPPT	WA_MAG_00001	8e-65	1055973	951
Ribosomal_S15	WA_MAG_00001	2e-36	1056198	270
RBFA	WA_MAG_00001	9.7e-26	1056200	375
UPF0054	WA_MAG_00001	5.1e-36	1056209	636
Ribosomal_S7	WA_MAG_00001	6.9e-69	1057505	471
Ribosom_S12_S23	WA_MAG_00001	1e-45	1057506	372
Ribosomal_L1	WA_MAG_00001	6.6e-56	1057511	693
SecE	WA_MAG_00001	2e-17	1057514	240
eIF-1a	WA_MAG_00001	5.3e-30	1592650	219
Ribosomal_L35p	WA_MAG_00001	2.9e-22	1434400	198
Ribosomal_L20	WA_MAG_00001	1.7e-50	1434401	366
EF_TS	WA_MAG_00001	5.8e-67	379819	828
Ribosomal_S2	WA_MAG_00001	1.1e-91	379820	888
RecO_C	WA_MAG_00001	1.8e-25	379829	783
RNA_pol_Rpb6	WA_MAG_00001	5.8e-15	379837	414
SmpB	WA_MAG_00001	3.8e-52	379841	456
tRNA-synt_1d	WA_MAG_00001	3.8e-19	381926	1722
Ribosomal_S20p	WA_MAG_00001	1.2e-29	208933	273
Ribosomal_L9_C	WA_MAG_00001	2.2e-25	210835	693
Ribosomal_S6	WA_MAG_00001	4.7e-30	210837	387
Exonuc_VII_L	WA_MAG_00001	2e-94	39562	1449
Adenylsucc_synt	WA_MAG_00001	3.5e-172	1624138	1293
Ribosomal_L21p	WA_MAG_00001	3e-43	748483	483
Ribosomal_L27	WA_MAG_00001	8.5e-42	748484	267
RsfS	WA_MAG_00001	1e-23	748489	264
ATP-synt	WA_MAG_00001	2.2e-99	748496	882
OSCP	WA_MAG_00001	1e-46	748498	555
Ribosomal_L19	WA_MAG_00001	1.5e-50	748519	378
tRNA_m1G_MT	WA_MAG_00001	1.3e-50	748520	753
Ribosomal_S16	WA_MAG_00001	1.6e-26	748522	609
Chorismate_synt	WA_MAG_00001	1.4e-136	410032	1098
AICARFT_IMPCHas	WA_MAG_00001	4.8e-116	1643477	1602
ATP-synt_A	WA_MAG_00001	1.1e-62	1643483	744
TsaE	WA_MAG_00001	2.3e-32	587117	516
YajC	WA_MAG_00001	1.2e-31	1472986	375
EF_TS	WA_MAG_00001	6e-15	601582	234
RRF	WA_MAG_00001	4.9e-60	601584	558
Ribosomal_L13	WA_MAG_00001	3.2e-57	601605	468
Ribosomal_S9	WA_MAG_00001	2.6e-48	601606	510
SecG	WA_MAG_00001	2.6e-21	601648	315
Ribosomal_L32p	WA_MAG_00001	2e-23	988072	186
Ruv	XWA_MAG_00001	1.8e-36	1173082	420
Pept_tRNA_hydro	WA_MAG_00001	2.3e-54	649211	603
Ribonuclease_P	WA_MAG_00001	6.7e-21	1007398	465
Ribosomal_L28	WA_MAG_00001	2.2e-27	693728	285
GrpE	WA_MAG_00001	8.6e-50	1578624	657
Ham1p_like	WA_MAG_00001	1.9e-58	1578629	618
Ham1p_like	WA_MAG_00002	1.5e-58	712268	594
GrpE	WA_MAG_00002	6.1e-51	712272	588
UPF0054	WA_MAG_00002	5.6e-29	712292	504
RBFA	WA_MAG_00002	8.7e-24	712301	429
Ribosomal_S15	WA_MAG_00002	7.1e-37	712303	270
Ribosomal_S20p	WA_MAG_00002	1e-28	712317	267
Pept_tRNA_hydro	WA_MAG_00002	2.4e-55	717684	609
Ribosomal_L21p	WA_MAG_00002	2.9e-42	1433246	429
Ribosomal_L27	WA_MAG_00002	1.5e-40	1433247	270
RsfS	WA_MAG_00002	7.1e-28	1433252	444
ATP-synt	WA_MAG_00002	1.4e-99	1433259	885
OSCP	WA_MAG_00002	1.3e-48	1433261	555
Ribosomal_L19	WA_MAG_00002	5.4e-50	1433282	375
tRNA_m1G_MT	WA_MAG_00002	5.7e-57	1433283	738
Ribosomal_S16	WA_MAG_00002	2.6e-27	1433285	408
Ribosomal_L28	WA_MAG_00002	2.3e-27	1609640	285
Ribonuclease_P	WA_MAG_00002	1.1e-21	742632	378
eIF-1a	WA_MAG_00002	5.3e-30	742775	219
Adenylsucc_synt	WA_MAG_00002	2e-151	393291	1092
Adenylsucc_synt	WA_MAG_00002	5.3e-36	1464194	345
Ribosomal_L32p	WA_MAG_00002	7.4e-22	1123750	186
SecG	WA_MAG_00002	6.1e-21	773345	330
tRNA-synt_1d	WA_MAG_00002	3.6e-21	773420	1764
YajC	WA_MAG_00002	1.6e-31	773433	312
Ribosomal_S9	WA_MAG_00002	1e-47	773479	495
Ribosomal_L13	WA_MAG_00002	6.6e-58	773480	468
RRF	WA_MAG_00002	6e-59	773501	558
EF_TS	WA_MAG_00002	1e-67	773503	921
Ribosomal_S2	WA_MAG_00002	1.1e-91	773504	795
RecO_C	WA_MAG_00002	6.7e-28	773513	741
