gene_callers_id	source	gene_name	gene_hmm_id	WAM_ALR	WAM_CCR	WAM_IPI	WAM_MAR	WAM_MYS	WAM_PBL	WAM_PJN	WAM_PPR	WAM_PST	WAM_ROL	WAM_SCR	WAM_SGN	WAM_SIS	WAM_TWN	WAR_ALR	WAR_CCR	WAR_IPI	WAR_MAR	WAR_MYS	WAR_PBL	WAR_PJN	WAR_PPR	WAR_PSK	WAR_PST	WAR_RNW	WAR_ROL	WAR_SCR	WAR_SGL	WAR_SIS
1073146	Bacteria_71	OSCP	PF00213.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.635658914728682	0.0310077519379845	0	0	0	0.209302325581395	0.0271317829457364	0	0
1101513	Bacteria_71	Chorismate_synt	PF01264.21	0.352409638554217	0.544176706827309	0.663654618473896	0.0843373493975904	0.151606425702811	0	0.469879518072289	0.352409638554217	0.414658634538153	0.253012048192771	0	0.151606425702811	0	0	0.583333333333333	0.330321285140562	0.493975903614458	0.384538152610442	0.302208835341365	0.302208835341365	0.536144578313253	0.571285140562249	0.55421686746988	0.52710843373494	0.732931726907631	0.58433734939759	0.629518072289157	0	0
1110346	Bacteria_71	OSCP	PF00213.18	0.173400673400673	0.80976430976431	0.202020202020202	0	0	0	0.355218855218855	0	0.254208754208754	0	0.466329966329966	0.717171717171717	0	0	0.621212121212121	0.134680134680135	0.260942760942761	0	0.166666666666667	0.259259259259259	0.501683501683502	0.627946127946128	0.547138047138047	0.506734006734007	0.363636363636364	0.895622895622896	0.898989898989899	0.707070707070707	0.326599326599327
1110349	Bacteria_71	ATP-synt_A	PF00119.20	0.241042345276873	0	0.318132464712269	0.264929424538545	0	0.326818675352877	0.775244299674267	0	0.625407166123778	0.246471226927253	0.231270358306189	0	0.460369163952226	0.169381107491857	0.346362649294245	0.0282301845819761	0	0.407166123778502	0.273615635179153	0.0314875135722041	0.585233441910966	0.351791530944625	0.729641693811075	0.760043431053203	0.789359391965255	0.805646036916395	0.496199782844734	0.221498371335505	0.462540716612378
1187766	Bacteria_71	Ribosomal_S9	PF00380.19	0	0.521645021645022	0.266233766233766	0	0.686147186147186	0	0.547619047619048	0	0.534632034632035	0	0	0.261904761904762	0	0.101731601731602	0.432900432900433	0.380952380952381	0	0	0	0.725108225108225	0.593073593073593	0.885281385281385	0	0.926406926406926	0.601731601731602	0.595238095238095	0.859307359307359	0.125541125541126	0.11038961038961
1187767	Bacteria_71	Ribosomal_L13	PF00572.18	0	0.96969696969697	0.0163170163170163	0	0.8997668997669	0	0.414918414918415	0.351981351981352	0.351981351981352	0.533799533799534	0	0.643356643356643	0	0.545454545454545	0.652680652680653	0	0	0	0.331002331002331	1	0.636363636363636	0.610722610722611	0.944055944055944	1	0.797202797202797	0.93006993006993	1	0.51981351981352	0.177156177156177
265865	Bacteria_71	Ribosomal_L1	PF00687.21	0.650655021834061	0.365356622998544	0.780203784570597	0.291120815138282	0.324599708879185	0.232896652110626	0.646288209606987	0.320232896652111	0.547307132459971	0	0.438136826783115	0.537117903930131	0.106259097525473	0	0.879184861717613	0.317321688500728	0.231441048034935	0.407569141193595	0.438136826783115	0.409024745269287	0.551673944687045	0.806404657933042	0.459970887918486	0.863173216885007	0	0.902474526928675	0.889374090247453	0.0946142649199418	1
348333	Bacteria_71	tRNA-synt_1d	PF00750.19	0.270142180094787	0.238546603475513	0.323854660347551	0	0	0	0	0	0	0	0	0.341232227488152	0.115323854660348	0.477093206951027	0.270142180094787	0.477093206951027	0	0	0.327014218009479	0.579778830963665	0	0.587677725118483	0.477093206951027	0.529225908372828	0.399684044233807	0.753554502369668	0.0884676145339652	0.101105845181675	0
621650	Bacteria_71	ATP-synt	PF00231.19	0.523321956769056	0	0.319681456200228	0.139931740614334	0.136518771331058	0.33674630261661	0.563139931740614	0.126279863481229	0.343572241183163	0	0.448236632536974	0.76905574516496	0.332195676905574	0.342434584755404	0.258248009101251	0.444823663253697	0.890784982935154	0.497155858930603	0.268486916951081	0	0.409556313993174	0.863481228668942	0.580204778156997	0.839590443686007	0.499431171786121	0.672354948805461	0.899886234357224	0.155858930602958	0.517633674630262
657855	Bacteria_71	ADK	PF00406.22	0	0.364734299516908	0.333333333333333	0	0	0	0	0.43719806763285	0.669082125603865	0.729468599033816	0	0	0.207729468599034	0	0.265700483091787	0.277777777777778	0	0	0	0.545893719806763	0	0.492753623188406	0	0.727053140096618	0	0.92512077294686	0.835748792270531	0.157004830917874	0.241545893719807
