genes	accession	pfam_link
Adenylsucc_synt	PF00709.21	https://pfam.xfam.org/family/PF00709.21
AdoHcyase	PF05221.17	https://pfam.xfam.org/family/PF05221.17
Archease	PF01951.16	https://pfam.xfam.org/family/PF01951.16
ATP-synt_D	PF01813.17	https://pfam.xfam.org/family/PF01813.17
ATP-synt_F	PF01990.17	https://pfam.xfam.org/family/PF01990.17
CarS-like	PF01864.17	https://pfam.xfam.org/family/PF01864.17
CTP-dep_RFKase	PF01982.16	https://pfam.xfam.org/family/PF01982.16
Diphthamide_syn	PF01866.17	https://pfam.xfam.org/family/PF01866.17
DNA_primase_lrg	PF04104.14	https://pfam.xfam.org/family/PF04104.14
dsDNA_bind	PF01984.20	https://pfam.xfam.org/family/PF01984.20
DUF357	PF04010.13	https://pfam.xfam.org/family/PF04010.13
DUF359	PF04019.12	https://pfam.xfam.org/family/PF04019.12
DUF655	PF04919.12	https://pfam.xfam.org/family/PF04919.12
eIF-6	PF01912.18	https://pfam.xfam.org/family/PF01912.18
FbpA	PF05833.11	https://pfam.xfam.org/family/PF05833.11
Ham1p_like	PF01725.16	https://pfam.xfam.org/family/PF01725.16
HMG-CoA_red	PF00368.18	https://pfam.xfam.org/family/PF00368.18
NDK	PF00334.19	https://pfam.xfam.org/family/PF00334.19
PPS_PS	PF02006.16	https://pfam.xfam.org/family/PF02006.16
Prefoldin	PF02996.17	https://pfam.xfam.org/family/PF02996.17
PTH2	PF01981.16	https://pfam.xfam.org/family/PF01981.16
PyrI	PF01948.18	https://pfam.xfam.org/family/PF01948.18
Ribosomal_L1	PF00687.21	https://pfam.xfam.org/family/PF00687.21
Ribosomal_L13	PF00572.18	https://pfam.xfam.org/family/PF00572.18
Ribosomal_L14	PF00238.19	https://pfam.xfam.org/family/PF00238.19
Ribosomal_L15e	PF00827.17	https://pfam.xfam.org/family/PF00827.17
Ribosomal_L16	PF00252.18	https://pfam.xfam.org/family/PF00252.18
Ribosomal_L21e	PF01157.18	https://pfam.xfam.org/family/PF01157.18
Ribosomal_L22	PF00237.19	https://pfam.xfam.org/family/PF00237.19
Ribosomal_L23	PF00276.20	https://pfam.xfam.org/family/PF00276.20
Ribosomal_L26	PF16906.5	https://pfam.xfam.org/family/PF16906.5
Ribosomal_L29	PF00831.23	https://pfam.xfam.org/family/PF00831.23
Ribosomal_L3	PF00297.22	https://pfam.xfam.org/family/PF00297.22
Ribosomal_L31e	PF01198.19	https://pfam.xfam.org/family/PF01198.19
Ribosomal_L32e	PF01655.18	https://pfam.xfam.org/family/PF01655.18
Ribosomal_L37ae	PF01780.19	https://pfam.xfam.org/family/PF01780.19
Ribosomal_L39	PF00832.20	https://pfam.xfam.org/family/PF00832.20
Ribosomal_L4	PF00573.22	https://pfam.xfam.org/family/PF00573.22
Ribosomal_L44	PF00935.19	https://pfam.xfam.org/family/PF00935.19
Ribosomal_L5e	PF17144.4	https://pfam.xfam.org/family/PF17144.4
Ribosomal_L6	PF00347.23	https://pfam.xfam.org/family/PF00347.23
Ribosomal_S11	PF00411.19	https://pfam.xfam.org/family/PF00411.19
Ribosomal_S13	PF00416.22	https://pfam.xfam.org/family/PF00416.22
Ribosomal_S15	PF00312.22	https://pfam.xfam.org/family/PF00312.22
Ribosomal_S17	PF00366.20	https://pfam.xfam.org/family/PF00366.20
Ribosomal_S17e	PF00833.18	https://pfam.xfam.org/family/PF00833.18
Ribosomal_S19	PF00203.21	https://pfam.xfam.org/family/PF00203.21
Ribosomal_S19e	PF01090.19	https://pfam.xfam.org/family/PF01090.19
Ribosomal_S2	PF00318.20	https://pfam.xfam.org/family/PF00318.20
Ribosomal_S24e	PF01282.19	https://pfam.xfam.org/family/PF01282.19
Ribosomal_S27e	PF01667.17	https://pfam.xfam.org/family/PF01667.17
Ribosomal_S28e	PF01200.18	https://pfam.xfam.org/family/PF01200.18
Ribosomal_S3Ae	PF01015.18	https://pfam.xfam.org/family/PF01015.18
Ribosomal_S7	PF00177.21	https://pfam.xfam.org/family/PF00177.21
Ribosomal_S8	PF00410.19	https://pfam.xfam.org/family/PF00410.19
Ribosomal_S8e	PF01201.22	https://pfam.xfam.org/family/PF01201.22
Ribosomal_S9	PF00380.19	https://pfam.xfam.org/family/PF00380.19
Ribosom_S12_S23	PF00164.25	https://pfam.xfam.org/family/PF00164.25
Rib_5-P_isom_A	PF06026.14	https://pfam.xfam.org/family/PF06026.14
RNase_HII	PF01351.18	https://pfam.xfam.org/family/PF01351.18
RNA_pol_L_2	PF13656.6	https://pfam.xfam.org/family/PF13656.6
RNA_pol_N	PF01194.17	https://pfam.xfam.org/family/PF01194.17
RNA_pol_Rpb4	PF03874.16	https://pfam.xfam.org/family/PF03874.16
RNA_pol_Rpb6	PF01192.22	https://pfam.xfam.org/family/PF01192.22
RtcB	PF01139.17	https://pfam.xfam.org/family/PF01139.17
SecY	PF00344.20	https://pfam.xfam.org/family/PF00344.20
Spt4	PF06093.13	https://pfam.xfam.org/family/PF06093.13
TIM	PF00121.18	https://pfam.xfam.org/family/PF00121.18
Trm56	PF01994.16	https://pfam.xfam.org/family/PF01994.16
tRNA-synt_1c	PF00749.21	https://pfam.xfam.org/family/PF00749.21
tRNA-synt_1d	PF00750.19	https://pfam.xfam.org/family/PF00750.19
tRNA-synt_His	PF13393.6	https://pfam.xfam.org/family/PF13393.6
TruD	PF01142.18	https://pfam.xfam.org/family/PF01142.18
vATP-synt_AC39	PF01992.16	https://pfam.xfam.org/family/PF01992.16
vATP-synt_E	PF01991.18	https://pfam.xfam.org/family/PF01991.18
V_ATPase_I	PF01496.19	https://pfam.xfam.org/family/PF01496.19
