bin name	domain	confidence	% completion	% redundancy	num_splits	total length
WA_MAG_00001	BACTERIA	1.0	100.00	1.41	137	2047586
WA_MAG_00002	BACTERIA	1.0	100.00	1.41	93	1955749
WA_MAG_00003	BACTERIA	1.0	98.59	0.00	66	1181014
WA_MAG_00004	BACTERIA	1.0	97.18	0.00	224	2120415
WA_MAG_00005	BACTERIA	1.0	97.18	0.00	101	1846770
WA_MAG_00006	BACTERIA	1.0	97.18	0.00	143	1777287
WA_MAG_00007	BACTERIA	1.0	98.59	2.82	310	1975778
WA_MAG_00008	BACTERIA	1.0	98.59	2.82	165	2144605
WA_MAG_00009	BACTERIA	1.0	95.77	0.00	97	1784192
WA_MAG_00010	EUKARYA	0.6	96.39	1.20	840	12083237
WA_MAG_00011	BACTERIA	1.0	95.77	1.41	662	3962024
WA_MAG_00012	BACTERIA	1.0	95.77	1.41	127	1610000
WA_MAG_00013	BACTERIA	1.0	94.37	0.00	191	2679653
WA_MAG_00014	BACTERIA	1.0	97.18	4.23	447	2281835
WA_MAG_00015	BACTERIA	1.0	97.18	4.23	258	1793838
WA_MAG_00016	BACTERIA	0.9	97.18	4.23	174	1856990
WA_MAG_00017	BACTERIA	1.0	94.37	1.41	419	2860427
WA_MAG_00018	BACTERIA	1.0	92.96	0.00	145	2124535
WA_MAG_00019	BACTERIA	1.0	97.18	5.63	728	1284585
WA_MAG_00020	BACTERIA	1.0	91.55	0.00	161	1868016
WA_MAG_00021	BACTERIA	1.0	98.59	7.04	105	1946327
WA_MAG_00022	BACTERIA	1.0	92.96	1.41	146	1835621
WA_MAG_00023	BACTERIA	0.8	91.55	1.41	365	2030837
WA_MAG_00024	BACTERIA	0.9	91.55	2.82	279	2717342
WA_MAG_00025	BACTERIA	0.9	94.37	5.63	495	1225026
WA_MAG_00026	BACTERIA	0.9	95.77	8.45	568	1775013
WA_MAG_00027	BACTERIA	0.9	92.96	5.63	353	2802924
WA_MAG_00028	BACTERIA	0.9	90.14	2.82	823	1941485
WA_MAG_00029	ARCHAEA	0.9	88.16	1.32	116	1304622
WA_MAG_00030	ARCHAEA	0.8	88.16	1.32	65	1285593
WA_MAG_00031	ARCHAEA	1.0	92.11	5.26	99	1420955
WA_MAG_00032	BACTERIA	0.9	94.37	8.45	1134	2546495
WA_MAG_00033	BACTERIA	0.9	90.14	4.23	853	4276881
WA_MAG_00034	BACTERIA	0.9	88.73	4.23	168	2483765
WA_MAG_00035	BACTERIA	0.9	90.14	5.63	179	1563428
WA_MAG_00036	BACTERIA	1.0	90.14	5.63	628	2021430
WA_MAG_00037	BACTERIA	0.9	88.73	5.63	1007	3118345
WA_MAG_00038	BACTERIA	0.9	84.51	1.41	243	1671594
WA_MAG_00039	BACTERIA	0.9	84.51	1.41	110	682107
WA_MAG_00040	BACTERIA	0.9	88.73	5.63	630	1823682
WA_MAG_00041	ARCHAEA	0.8	90.79	7.89	435	1924227
WA_MAG_00042	BACTERIA	0.9	85.92	4.23	201	1291339
WA_MAG_00043	BACTERIA	1.0	87.32	5.63	897	3311819
WA_MAG_00044	BACTERIA	0.8	83.10	2.82	412	919638
WA_MAG_00045	ARCHAEA	0.7	82.89	2.63	159	1409520
WA_MAG_00046	ARCHAEA	0.8	84.21	5.26	164	1298967
WA_MAG_00047	ARCHAEA	0.8	81.58	2.63	628	1532470
WA_MAG_00048	ARCHAEA	0.8	84.21	5.26	166	1887979
WA_MAG_00049	BACTERIA	0.8	80.28	1.41	348	2650093
WA_MAG_00050	BACTERIA	0.8	81.69	2.82	321	1885399
WA_MAG_00051	BACTERIA	0.9	85.92	7.04	669	2824715
WA_MAG_00052	BACTERIA	0.9	84.51	5.63	909	2920759
WA_MAG_00053	BACTERIA	0.9	84.51	5.63	1517	2765431
WA_MAG_00054	BACTERIA	1.0	85.92	8.45	701	1624286
WA_MAG_00055	BACTERIA	1.0	83.10	5.63	125	672532
WA_MAG_00056	BACTERIA	0.9	78.87	1.41	469	2043619
WA_MAG_00057	BACTERIA	0.9	84.51	8.45	301	1957807
WA_MAG_00058	BACTERIA	0.9	84.51	8.45	196	1487711
WA_MAG_00059	ARCHAEA	0.8	80.26	5.26	120	1455552
WA_MAG_00060	BACTERIA	0.8	83.10	8.45	105	862504
WA_MAG_00061	ARCHAEA	0.8	80.26	6.58	479	1601316
WA_MAG_00062	ARCHAEA	0.8	78.95	5.26	521	2115568
WA_MAG_00063	BACTERIA	0.8	81.69	8.45	862	2938562
WA_MAG_00064	ARCHAEA	0.8	80.26	7.89	388	1869954
WA_MAG_00065	ARCHAEA	0.6	72.37	0.00	147	1338986
WA_MAG_00066	BACTERIA	0.8	77.46	5.63	883	1358926
WA_MAG_00067	ARCHAEA	0.7	72.37	1.32	134	1497594
WA_MAG_00068	BACTERIA	0.7	73.24	4.23	228	1175570
WA_MAG_00069	BACTERIA	0.8	73.24	4.23	414	2282132
WA_MAG_00070	BACTERIA	0.7	70.42	2.82	523	1370180
WA_MAG_00071	BACTERIA	0.7	70.42	4.23	1413	3505296
WA_MAG_00072	BACTERIA	0.8	69.01	2.82	287	1421650
WA_MAG_00073	BACTERIA	0.7	66.20	1.41	636	1424896
WA_MAG_00074	BACTERIA	0.8	71.83	7.04	298	1483903
WA_MAG_00075	BACTERIA	0.7	71.83	7.04	443	1668075
WA_MAG_00076	ARCHAEA	0.7	67.11	3.95	96	1135864
WA_MAG_00077	BACTERIA	0.7	67.61	7.04	280	1991795
WA_MAG_00078	ARCHAEA	0.4	59.21	0.00	251	1123467
WA_MAG_00079	BACTERIA	0.6	64.79	5.63	581	1279612
WA_MAG_00080	BACTERIA	0.6	66.20	8.45	737	1703261
WA_MAG_00081	ARCHAEA	0.6	63.16	6.58	393	1999441
WA_MAG_00082	BACTERIA	0.7	54.93	0.00	1061	1903263
WA_MAG_00083	BACTERIA	0.5	53.52	1.41	645	1153401
WA_MAG_00084	BACTERIA	0.4	50.70	1.41	187	1887118
WA_MAG_00085	BACTERIA	0.6	50.70	1.41	361	1261026
WA_MAG_00086	BACTERIA	0.2	29.58	0.00	497	1045899
WA_MAG_00087	BACTERIA	0.2	29.58	2.82	634	1266422
WA_MAG_00088	BACTERIA	0.2	30.99	5.63	488	1427867
WA_MAG_00089	BACTERIA	0.2	28.17	2.82	581	1065789
WA_Bin_00090	BACTERIA	0.7	66.20	0.00	91	940459
WA_Bin_00091	BACTERIA	0.6	63.38	1.41	43	318414
WA_Bin_00093	BACTERIA	0.7	64.79	2.82	126	701568
WA_Bin_00094	BACTERIA	0.7	66.20	5.63	138	673603
WA_Bin_00095	BACTERIA	0.7	57.75	5.63	119	562070
WA_Bin_00097	BACTERIA	0.5	52.11	1.41	126	710238
WA_Bin_00098	BACTERIA	0.5	52.11	2.82	296	660850
WA_Bin_00099	BACTERIA	0.4	35.21	0.00	123	948063
WA_Bin_00105	BACTERIA	0.3	32.39	7.04	116	179192
