gene_name	mag_id	e_value	gene_callers_id	length
Ribosomal_S11	WA_MAG_00001	2.1e-51	350668	396
Ribosomal_S13	WA_MAG_00001	5.5e-35	350669	369
SecY	WA_MAG_00001	5.7e-114	350671	1335
Ribosomal_L6	WA_MAG_00001	2.6e-37	350676	534
Ribosomal_S8	WA_MAG_00001	5.7e-48	350677	399
Ribosomal_L14	WA_MAG_00001	6.3e-58	350681	369
Ribosomal_S17	WA_MAG_00001	7.7e-31	350682	243
Ribosomal_L29	WA_MAG_00001	1.5e-23	350683	213
Ribosomal_L16	WA_MAG_00001	2.1e-52	350684	420
Ribosomal_L22	WA_MAG_00001	5e-35	350686	381
Ribosomal_S19	WA_MAG_00001	3.4e-37	350687	276
Ribosomal_L23	WA_MAG_00001	5e-33	350689	327
Ribosomal_L4	WA_MAG_00001	2.1e-59	350690	618
Ribosomal_L3	WA_MAG_00001	3.9e-18	350691	810
tRNA-synt_1c	WA_MAG_00001	1.4e-77	1056006	1344
Ribosomal_S15	WA_MAG_00001	2.1e-36	1056198	270
Ribosomal_S7	WA_MAG_00001	7.4e-69	1057505	471
Ribosom_S12_S23	WA_MAG_00001	1.1e-45	1057506	372
Ribosomal_L1	WA_MAG_00001	7.1e-56	1057511	693
RNase_HII	WA_MAG_00001	8.5e-36	1061649	651
Ribosomal_S2	WA_MAG_00001	1.2e-91	379820	888
RNA_pol_Rpb6	WA_MAG_00001	6.2e-15	379837	414
tRNA-synt_1d	WA_MAG_00001	4e-19	381926	1722
Adenylsucc_synt	WA_MAG_00001	3.8e-172	1624138	1293
tRNA-synt_His	WA_MAG_00001	9.2e-68	1624139	1170
tRNA-synt_His	WA_MAG_00001	9.5e-48	216431	1260
AdoHcyase	WA_MAG_00001	9.9e-36	587116	231
NDK	WA_MAG_00001	4.4e-55	1122826	417
tRNA-synt_1c	WA_MAG_00001	3.7e-88	601597	1383
Ribosomal_L13	WA_MAG_00001	3.4e-57	601605	468
Ribosomal_S9	WA_MAG_00001	2.8e-48	601606	510
TIM	WA_MAG_00001	7.3e-76	601647	759
AdoHcyase	WA_MAG_00001	6.5e-127	1663120	1302
tRNA-synt_1c	WA_MAG_00001	1.1e-50	613388	918
Ham1p_like	WA_MAG_00001	2.1e-58	1578629	618
RNase_HII	WA_MAG_00002	6.4e-34	712221	681
Ham1p_like	WA_MAG_00002	1.6e-58	712268	594
Ribosomal_S15	WA_MAG_00002	7.6e-37	712303	270
tRNA-synt_His	WA_MAG_00002	8.8e-45	1609665	1242
tRNA-synt_His	WA_MAG_00002	6.7e-72	393290	1155
Adenylsucc_synt	WA_MAG_00002	2.2e-151	393291	1092
Adenylsucc_synt	WA_MAG_00002	5.7e-36	1464194	345
TIM	WA_MAG_00002	5e-75	773344	759
tRNA-synt_1d	WA_MAG_00002	3.9e-21	773420	1764
Ribosomal_S9	WA_MAG_00002	1.1e-47	773479	495
Ribosomal_L13	WA_MAG_00002	7.1e-58	773480	468
tRNA-synt_1c	WA_MAG_00002	7.9e-92	773488	1386
Ribosomal_S2	WA_MAG_00002	1.2e-91	773504	795
RNA_pol_Rpb6	WA_MAG_00002	8.6e-15	773521	420
NDK	WA_MAG_00002	1.9e-54	773571	423
tRNA-synt_1c	WA_MAG_00002	3.8e-77	773634	1344
tRNA-synt_1c	WA_MAG_00002	1.1e-48	773954	819
AdoHcyase	WA_MAG_00002	1.8e-142	774047	1395
Ribosomal_L3	WA_MAG_00002	2.5e-15	1135890	762
Ribosomal_L4	WA_MAG_00002	9.7e-59	1135891	618
Ribosomal_L23	WA_MAG_00002	1.3e-33	1135892	327
Ribosomal_S19	WA_MAG_00002	2.3e-38	1135894	276
Ribosomal_L22	WA_MAG_00002	2.2e-34	1135895	381
Ribosomal_L16	WA_MAG_00002	1.2e-51	1135897	420
Ribosomal_L29	WA_MAG_00002	2.5e-26	1135898	207
Ribosomal_S17	WA_MAG_00002	1.4e-30	1135899	240
Ribosomal_L14	WA_MAG_00002	6.3e-57	1135900	369
