unique_entry_id	gene_callers_id	source	gene_name	gene_hmm_id
0	351618	Archaea_76	tRNA-synt_1d	PF00750.19
1	351693	Archaea_76	Ribosomal_S2	PF00318.20
2	351784	Archaea_76	Ribosom_S12_S23	PF00164.25
3	351785	Archaea_76	Ribosomal_S7	PF00177.21
4	351799	Archaea_76	AdoHcyase	PF05221.17
5	351889	Archaea_76	Ribosomal_L23	PF00276.20
6	351890	Archaea_76	Ribosomal_L4	PF00573.22
7	351891	Archaea_76	Ribosomal_L3	PF00297.22
8	351936	Archaea_76	NDK	PF00334.19
9	352065	Archaea_76	tRNA-synt_1c	PF00749.21
10	352273	Archaea_76	Ribosomal_S3Ae	PF01015.18
11	352350	Archaea_76	tRNA-synt_1c	PF00749.21
12	352382	Archaea_76	Ribosomal_S9	PF00380.19
13	352383	Archaea_76	Ribosomal_L13	PF00572.18
14	352388	Archaea_76	Ribosomal_S11	PF00411.19
15	352389	Archaea_76	Ribosomal_S13	PF00416.22
16	352392	Archaea_76	SecY	PF00344.20
17	352568	Archaea_76	tRNA-synt_His	PF13393.6
18	353240	Archaea_76	RNase_HII	PF01351.18
19	353256	Archaea_76	AdoHcyase	PF05221.17
20	353258	Archaea_76	Trm56	PF01994.16
21	353605	Archaea_76	RNA_pol_Rpb6	PF01192.22
22	353900	Archaea_76	Adenylsucc_synt	PF00709.21
23	354219	Archaea_76	RNA_pol_Rpb6	PF01192.22
24	354422	Archaea_76	Prefoldin	PF02996.17
25	354506	Archaea_76	Ribosomal_S8	PF00410.19
26	354507	Archaea_76	Ribosomal_L6	PF00347.23
27	354533	Archaea_76	Ribosom_S12_S23	PF00164.25
28	354534	Archaea_76	Ribosomal_S7	PF00177.21
29	354630	Archaea_76	PTH2	PF01981.16
30	354632	Archaea_76	PTH2	PF01981.16
31	354943	Archaea_76	RtcB	PF01139.17
32	355026	Archaea_76	Ribosomal_L5e	PF17144.4
33	355028	Archaea_76	Ribosomal_L32e	PF01655.18
34	355030	Archaea_76	Ribosomal_L6	PF00347.23
35	355085	Archaea_76	Adenylsucc_synt	PF00709.21
36	355171	Archaea_76	CarS-like	PF01864.17
37	355608	Archaea_76	Ribosomal_S9	PF00380.19
38	355609	Archaea_76	Ribosomal_L13	PF00572.18
39	355657	Archaea_76	Ribosomal_S8	PF00410.19
40	355658	Archaea_76	Ribosomal_L6	PF00347.23
41	355702	Archaea_76	Rib_5-P_isom_A	PF06026.14
42	355718	Archaea_76	tRNA-synt_1c	PF00749.21
43	355792	Archaea_76	Ribosomal_S7	PF00177.21
44	355905	Archaea_76	tRNA-synt_His	PF13393.6
45	355909	Archaea_76	NDK	PF00334.19
46	355968	Archaea_76	tRNA-synt_1d	PF00750.19
47	356382	Archaea_76	Ribosomal_L13	PF00572.18
48	356416	Archaea_76	Adenylsucc_synt	PF00709.21
49	357132	Archaea_76	tRNA-synt_1d	PF00750.19
50	357263	Archaea_76	Ribosomal_S2	PF00318.20
51	357282	Archaea_76	AdoHcyase	PF05221.17
52	357325	Archaea_76	DUF359	PF04019.12
53	357340	Archaea_76	Archease	PF01951.16
54	357461	Archaea_76	DNA_primase_lrg	PF04104.14
55	357476	Archaea_76	DUF357	PF04010.13
56	357673	Archaea_76	RNA_pol_Rpb6	PF01192.22
57	358091	Archaea_76	Ribosomal_S2	PF00318.20
58	358323	Archaea_76	RNA_pol_L_2	PF13656.6
59	358324	Archaea_76	TruD	PF01142.18
60	358473	Archaea_76	tRNA-synt_His	PF13393.6
